Sr.No.,Player Name,Winning Bid,Team,Season,Play type,Nationality
2,Aaron Finch,44000000,RCB,2020,Batter,Overseas
4,Aaron Finch,62000000,KXIP,2018,Batter,Overseas
6,Aaron Finch,10000000,GL,2016,Batter,Overseas
15,Aaron Hardie,12500000,PBKS,2025,All-Rounder,Overseas
6,Abdul P A,2000000,RR,2023,All-Rounder,Indian
7,Abdul Samad,2000000,SRH,2020,All-Rounder,Indian
5,Abdul Samad,42000000,LSG,2025,Batter,Indian
15,Abhijeet Tomar,4000000,KKR,2022,Batter,Indian
9,Abhimanyu Mithun,3000000,SRH,2016,Spinner,Indian
17,Abhinandan Singh,3000000,RCB,2025,Spinner,Indian
4,Abhinav Manohar,32000000,SRH,2025,Batter,Indian
7,Abhinav Sadarangani,26000000,GT,2022,Batter,Indian
5,Abhishek Sharma,65000000,SRH,2022,All-Rounder,Indian
17,Abhishek Sharma,5500000,DD,2018,All-Rounder,Indian
5,Abid Mushtaq,2000000,RR,2024,All-Rounder,Indian
8,Adam Milne,19000000,CSK,2022,Pacer,Overseas
2,Adam Milne,32000000,MI,2021,Pacer,Overseas
6,Adam Zampa,24000000,SRH,2025,Spinner,Overseas
2,Adam Zampa,15000000,RR,2023,Spinner,Overseas
12,Adam Zampa,3000000,RPS,2016,Spinner,Overseas
5,Adil Rashid,20000000,SRH,2023,Spinner,Overseas
17,Aditya Tare,2000000,MI,2018,Wicket Keeper,Indian
6,Aditya Tare,2500000,DD,2017,Wicket Keeper,Indian
5,Aditya Tare,12000000,SRH,2016,Wicket Keeper,Indian
11,Agnivesh Ayachi,2000000,KXIP,2019,All-Rounder,Indian
8,Aiden Markram,20000000,LSG,2025,All-Rounder,Overseas
10,Aiden Markram,26000000,SRH,2022,Batter,Overseas
18,Ajay Mandal,3000000,DC,2025,All-Rounder,Indian
6,Ajay Mandal,2000000,CSK,2023,All-Rounder,Indian
10,Ajinkya Rahane,10000000,KKR,2022,Batter,Indian
7,Ajinkya Rahane,40000000,RR,2018,Batter,Indian
9,Ajinkya Rahane,15000000,KKR,2025,Batter,Indian
4,Ajinkya Rahane,5000000,CSK,2023,Batter,Indian
17,Akash  Deep,2000000,RCB,2022,Pacer,Indian
3,Akash Deep,80000000,LSG,2025,Pacer,Indian
8,Akash Madhwal,12000000,RR,2025,Pacer,Indian
6,Akash Singh,2000000,SRH,2024,Pacer,Indian
7,Akash Singh,2000000,RR,2021,Pacer,Indian
11,Akash Singh,2000000,RR,2020,Pacer,Indian
16,Akash Singh,3000000,LSG,2025,Pacer,Indian
7,Akash Vashisht,2000000,RR,2023,All-Rounder,Indian
7,Akeal Hosein,10000000,SRH,2023,Spinner,Overseas
13,Akhil Arvind Herwadkar,1000000,DD,2016,All-Rounder,Indian
15,Akila Dhananjaya,5000000,MI,2018,Spinner,Overseas
8,Akshay Karnewar,1000000,RCB,2016,All-Rounder,Indian
3,Akshdeep Nath,36000000,RCB,2019,All-Rounder,Indian
15,Akshdeep Nath,10000000,KXIP,2018,All-Rounder,Indian
6,Akshdeep Nath,1000000,GL,2017,All-Rounder,Indian
16,Akshdeep Nath,1000000,GL,2016,All-Rounder,Indian
3,Alex Carey,24000000,DC,2020,Wicket Keeper,Overseas
7,Alex Hales,15000000,KKR,2022,Batter,Overseas
5,Allah  Ghazanfar,48000000,MI,2025,Spinner,Overseas
1,Alzarri Joseph,115000000,RCB,2024,Pacer,Overseas
9,Alzarri Joseph,24000000,GT,2022,Pacer,Overseas
19,Aman Khan,2000000,KKR,2022,All-Rounder,Indian
2,Ambati Rayudu,67500000,CSK,2022,Wicket Keeper,Indian
6,Ambati Rayudu,22000000,CSK,2018,Wicket Keeper,Indian
3,Amit Mishra,5000000,LSG,2023,Spinner,Indian
3,Amit Mishra,40000000,DD,2018,Spinner,Indian
14,Amit Mishra,1000000,GL,2016,Spinner,Indian
15,Andre Siddarth,3000000,CSK,2025,Batter,Indian
8,Andrew Tye,5000000,GL,2016,All-Rounder,Overseas
6,Andrew Tye,10000000,RR,2020,Pacer,Overseas
3,Andrew Tye,72000000,KXIP,2018,Pacer,Overseas
19,Aneeshwar Gautam,2000000,RCB,2022,All-Rounder,Indian
3,Angelo Mathews,20000000,DD,2017,All-Rounder,Overseas
4,Angkrish Raghuvanshi,30000000,KKR,2025,Batter,Indian
8,Angkrish Raghuvanshi,2000000,KKR,2024,Batter,Indian
19,Aniket Choudhary,3000000,RCB,2018,Pacer,Indian
2,Aniket Choudhary,20000000,RCB,2017,Pacer,Indian
14,Aniket Verma,3000000,SRH,2025,Batter,Indian
10,Anirudha Ashok Joshi,2000000,RR,2020,All-Rounder,Indian
21,Anirudha Ashok Joshi,2000000,RCB,2018,All-Rounder,Indian
7,Ankeet Bawane,1000000,DD,2017,Batter,Indian
21,Ankit Sharma,2000000,RR,2018,All-Rounder,Indian
18,Ankit Sharma,1000000,RPS,2016,All-Rounder,Indian
11,Ankit Singh Rajpoot,5000000,LSG,2022,Pacer,Indian
8,Ankit Singh Rajpoot,30000000,KXIP,2018,Pacer,Indian
2,Ankit Singh Rajpoot,15000000,KKR,2016,Pacer,Indian
8,Ankush Bains,2000000,DC,2019,Wicket Keeper,Indian
17,Ankush Bains,1000000,RPS,2016,Wicket Keeper,Indian
