index_bat,index_bowl,season,player,team,innings_bat,runs_bat,balls_bat,sr_bat,dismissals_bat,avg_bat,innings_bowl,ballys_bowl,overs_bowl,runs_bowl,wickets_bowl,economy_bowl,avg_bowl,sr_bowl
125142,139236,2025,Ayush Badoni,LSG,11,329,223,147.53,10,32.9,2,10,1.4,13,2,7.8,6.5,5
130209,130234,2025,Anshul Kamboj,CSK,5,14,12,116.67,2,7,8,129,21.3,172,8,8,21.5,16.12
124674,,2025,Abhinav Manohar,SRH,5,61,61,100,5,12.2,,,,,,,,
133124,,2025,A Mhatre,CSK,7,240,127,188.98,7,34.29,,,,,,,,
,131526,2025,Anrich Nortje,KKR,,,,,,,2,42,7,83,1,11.86,83,42
124388,,2025,Angkrish Raghuvanshi,KKR,11,300,214,140.19,9,33.33,,,,,,,,
,124722,2025,Adam Zampa,SRH,,,,,,,2,48,8,94,2,11.75,47,24
124417,127125,2025,Andre Russell,KKR,10,167,102,163.73,9,18.56,9,109,18.1,217,8,11.94,27.12,13.62
125050,130337,2025,Aiden Markram,LSG,13,445,298,149.33,13,34.23,5,66,11,102,4,9.27,25.5,16.5
124327,,2025,Ajinkya Rahane,KKR,12,390,265,147.17,11,35.45,,,,,,,,
125185,125056,2025,Axar Rajesh Patel,DC,11,263,167,157.49,10,26.3,12,216,36,313,5,8.69,62.6,43.2
135503,135506,2025,Anukul Roy,KKR,1,0,1,0,1,0,1,24,4,27,1,6.75,27,24
126005,127396,2025,Abdul Samad,LSG,12,164,95,172.63,8,20.5,1,2,0.2,6,,18,,
124545,124716,2025,Abhishek Sharma,SRH,13,439,225,195.11,13,33.77,6,66,11,112,,10.18,,
125178,,2025,Abishek Porel,DC,13,301,205,146.83,12,25.08,,,,,,,,
127982,127991,2025,Akash  Deep,LSG,2,6,2,300,1,6,6,114,19,229,3,12.05,76.33,38
136080,135923,2025,Akash Madhwal,RR,1,4,9,44.44,0,4,4,90,15,166,4,11.07,41.5,22.5
,136854,2025,Akash Singh,LSG,,,,,,,3,67,11.1,99,4,8.87,24.75,16.75
124668,,2025,Aniket Verma,SRH,12,236,142,166.2,9,26.22,,,,,,,,
125548,125320,2025,Mohd. Arshad Khan,GT,4,23,19,121.05,2,11.5,9,126,21,217,6,10.33,36.17,21
128599,125422,2025,Arshdeep Singh,PBKS,2,2,6,33.33,1,2,16,350,58.2,518,21,8.88,24.67,16.67
125217,,2025,Ashutosh Sharma,DC,9,204,127,160.63,7,29.14,,,,,,,,
,127010,2025,Ashwani Kumar,MI,,,,,,,7,123,20.3,232,11,11.32,21.09,11.18
138401,,2025,Atharva Taide,SRH,1,13,9,144.44,1,13,,,,,,,,
127294,125790,2025,Avesh Khan,LSG,4,21,13,161.54,1,21,13,284,47.2,487,13,10.29,37.46,21.85
125337,125428,2025,Azmatullah Omarzai,PBKS,5,57,41,139.02,4,14.25,8,162,27,279,8,10.33,34.88,20.25
