Sr.No.,Player,Nationality,Type,Season
137,Aarya Desai,Indian,All-Rounder,2025
137,Aarya Desai,Indian,All-Rounder,2024
102,Abhimanyu Easwaran,Indian,All-Rounder,2023
165,Abhimanyusingh Rajput,Indian,All-Rounder,2025
165,Abhimanyusingh Rajput,Indian,All-Rounder,2024
330,Abhishek Raut,Indian,All-Rounder,2022
118,Abid Mushtaq,Indian,All-Rounder,2023
267,Abid Mushtaq,Indian,All-Rounder,2022
323,Aditya Sarvate,Indian,All-Rounder,2023
387,Agnivesh Ayachi,Indian,All-Rounder,2022
337,Ajay Dev Goud,Indian,All-Rounder,2022
356,Ajay Mandal,Indian,All-Rounder,2022
171,Akash Sengupta,Indian,All-Rounder,2025
171,Akash Sengupta,Indian,All-Rounder,2024
178,Akash Vashisht,Indian,All-Rounder,2025
178,Akash Vashisht,Indian,All-Rounder,2024
242,Akshay Karnewar,Indian,All-Rounder,2023
265,Akshay Karnewar,Indian,All-Rounder,2022
311,Akul Pandove,Indian,All-Rounder,2023
146,Aman Khan,Indian,All-Rounder,2025
146,Aman Khan,Indian,All-Rounder,2024
315,Amit Ali,Indian,All-Rounder,2023
280,Amit Ali,Indian,All-Rounder,2022
310,Amit Pachhara,Indian,All-Rounder,2023
314,Amit Yadav,Indian,All-Rounder,2023
334,Amit Yadav,Indian,All-Rounder,2022
169,Aniketh Reddy,Indian,All-Rounder,2025
169,Aniketh Reddy,Indian,All-Rounder,2024
299,Anirudha Joshi,Indian,All-Rounder,2022
160,Ansh Patel,Indian,All-Rounder,2025
160,Ansh Patel,Indian,All-Rounder,2024
262,Anshul Kamboj,Indian,All-Rounder,2023
302,Anunay Singh,Indian,All-Rounder,2023
173,Aradhya Shukla,Indian,All-Rounder,2025
173,Aradhya Shukla,Indian,All-Rounder,2024
366,Arjit Gupta,Indian,All-Rounder,2022
297,Arjun Rapria,Indian,All-Rounder,2023
336,Arun Chaprana,Indian,All-Rounder,2022
342,Ashutosh Sharma,Indian,All-Rounder,2022
136,Ashwin Das,Indian,All-Rounder,2025
136,Ashwin Das,Indian,All-Rounder,2024
240,Ashwin Das,Indian,All-Rounder,2023
164,Atal Rai,Indian,All-Rounder,2025
164,Atal Rai,Indian,All-Rounder,2024
128,Atharva Ankolekar,Indian,All-Rounder,2025
128,Atharva Ankolekar,Indian,All-Rounder,2024
282,Atharva Ankolekar,Indian,All-Rounder,2023
159,Atharva Ankolekar,Indian,All-Rounder,2022
93,Atit Sheth,Indian,All-Rounder,2025
93,Atit Sheth,Indian,All-Rounder,2024
156,Atit Sheth,Indian,All-Rounder,2023
189,Atit Sheth,Indian,All-Rounder,2022
296,Auqib Dar,Indian,All-Rounder,2022
269,Avneesh Sudha,Indian,All-Rounder,2023
309,Ayaz Khan,Indian,All-Rounder,2023
263,Azim Kazi,Indian,All-Rounder,2023
339,Azim Kazi,Indian,All-Rounder,2022
213,B. Surya,Indian,All-Rounder,2023
129,Baba Aparajith,Indian,All-Rounder,2025
129,Baba Aparajith,Indian,All-Rounder,2024
261,Baba Aparajith,Indian,All-Rounder,2023
225,Baba Aparajith,Indian,All-Rounder,2022
381,Bavanaka Sandeep,Indian,All-Rounder,2022
243,Bhagmender Lather,Indian,All-Rounder,2023
332,Bharat Sharma,Indian,All-Rounder,2022
281,Chaitanya Bishnoi,Indian,All-Rounder,2022
297,Chirag Gandhi,Indian,All-Rounder,2022
241,Chirag Jani,Indian,All-Rounder,2023
296,Deepesh Nailwal,Indian,All-Rounder,2023
294,Deepraj Gaonkar,Indian,All-Rounder,2023
152,Dev Lakra,Indian,All-Rounder,2025
152,Dev Lakra,Indian,All-Rounder,2024
264,Dev Lakra,Indian,All-Rounder,2023
355,Dev Lakra,Indian,All-Rounder,2022
287,Dhrushant Soni,Indian,All-Rounder,2022
321,Dhruv Patel,Indian,All-Rounder,2023
188,Dhruv Patel,Indian,All-Rounder,2022
