season,team,player,Nationality,type
2024,SRH,Aiden Markram,Overseas,All-Rounder
2023,SRH,Aiden Markram,Overseas,All-Rounder
2024,CSK,Ajay Mandal,Indian,All-Rounder
2016,MI,Akshay Wakhare,Indian,All-Rounder
2016,DD,Albie Morkel,Overseas,All-Rounder
2025,KKR,Andre Russell,Overseas,All-Rounder
2024,KKR,Andre Russell,Overseas,All-Rounder
2023,KKR,Andre Russell,Overseas,All-Rounder
2022,KKR,Andre Russell,Overseas,All-Rounder
2021,KKR,Andre Russell,Overseas,All-Rounder
2020,KKR,Andre Russell,Overseas,All-Rounder
2019,KKR,Andre Russell,Overseas,All-Rounder
2018,KKR,Andre Russell,Overseas,All-Rounder
2017,KKR,Andre Russell,Overseas,All-Rounder
2016,KKR,Andre Russell,Overseas,All-Rounder
2024,MI,Arjun  Tendulkar,Indian,All-Rounder
2023,MI,Arjun  Tendulkar,Indian,All-Rounder
2016,SRH,Ashish Reddy,Indian,All-Rounder
2025,DC,Axar Rajesh Patel,Indian,All-Rounder
2024,DC,Axar Rajesh Patel,Indian,All-Rounder
2023,DC,Axar Rajesh Patel,Indian,All-Rounder
2022,DC,Axar Rajesh Patel,Indian,All-Rounder
2021,DC,Axar Rajesh Patel,Indian,All-Rounder
2020,DC,Axar Rajesh Patel,Indian,All-Rounder
2018,KXIP,Axar Rajesh Patel,Indian,All-Rounder
2017,KXIP,Axar Rajesh Patel,Indian,All-Rounder
2016,KXIP,Axar Rajesh Patel,Indian,All-Rounder
2019,MI,Ben Cutting,Overseas,All-Rounder
2017,SRH,Ben Cutting,Overseas,All-Rounder
2021,RR,Benjamin Stokes,Overseas,All-Rounder
2020,RR,Benjamin Stokes,Overseas,All-Rounder
2019,RR,Benjamin Stokes,Overseas,All-Rounder
2017,SRH,Bipul Sharma,Indian,All-Rounder
2016,SRH,Bipul Sharma,Indian,All-Rounder
2016,KKR,Brad Hogg,Overseas,All-Rounder
2024,MI,Cameron Green,Overseas,All-Rounder
2017,DD,Carlos Brathwaite,Overseas,All-Rounder
2019,CSK,Chaitanya Bishnoi,Indian,All-Rounder
2021,KXIP,Chris Jordan,Overseas,All-Rounder
2021,DC,Chris Woakes,Overseas,All-Rounder
2019,DC,Christopher Morris,Overseas,All-Rounder
2018,DD,Christopher Morris,Overseas,All-Rounder
2017,DD,Christopher Morris,Overseas,All-Rounder
2019,RCB,Colin  De Grandhomme,Overseas,All-Rounder
2016,MI,Corey Anderson,Overseas,All-Rounder
2021,DC,Daniel Sams,Overseas,All-Rounder
2016,RCB,David Wiese,Overseas,All-Rounder
2023,RCB,David Willey,Overseas,All-Rounder
2019,CSK,David Willey,Overseas,All-Rounder
2024,LSG,Deepak Hooda,Indian,All-Rounder
2023,LSG,Deepak Hooda,Indian,All-Rounder
2021,KXIP,Deepak Hooda,Indian,All-Rounder
2019,SRH,Deepak Hooda,Indian,All-Rounder
2017,SRH,Deepak Hooda,Indian,All-Rounder
2024,RR,Donovan Ferreira,Overseas,All-Rounder
2023,CSK,Dwaine Pretorius,Overseas,All-Rounder
2021,CSK,Dwayne Bravo,Overseas,All-Rounder
2020,CSK,Dwayne Bravo,Overseas,All-Rounder
2019,CSK,Dwayne Bravo,Overseas,All-Rounder
2017,GL,Dwayne Bravo,Overseas,All-Rounder
2016,GL,Dwayne Bravo,Overseas,All-Rounder
2024,SRH,Fazalhaq Farooqi,Overseas,All-Rounder
