Sr.No.,Player Name,Winning Bid,Team,Season,Base price,Play type,,,Type,NATIONALITY
1,Noor Ahmad,100000000,CSK,2025,20000000,,,,Capped,
2,Ravichandaran Ashwin,97500000,CSK,2025,20000000,,,,Capped,
3,Devon Conway,62500000,CSK,2025,20000000,,,,Capped,
4,Syed Khaleel Ahmed,48000000,CSK,2025,20000000,,,,Capped,
5,Rachin Ravindra,40000000,CSK,2025,15000000,,,,Capped,
6,Anshul Kamboj,34000000,CSK,2025,3000000,,,,Uncapped,
7,Rahul Ajay Tripathi,34000000,CSK,2025,7500000,,,,Capped,
8,Sam Curran,24000000,CSK,2025,20000000,,,,Capped,
9,Gurjapneet Singh,22000000,CSK,2025,3000000,,,,Uncapped,
10,Nathan Ellis,20000000,CSK,2025,12500000,,,,Capped,
11,Deepak Hooda,17000000,CSK,2025,7500000,,,,Capped,
12,Jamie Overton,15000000,CSK,2025,15000000,,,,Capped,
13,Vijay Shankar,12000000,CSK,2025,3000000,,,,Uncapped,
14,Vansh Bedi,5500000,CSK,2025,3000000,,,,Uncapped,
15,Andre Siddarth,3000000,CSK,2025,3000000,,,,Uncapped,
16,Shreyas Gopal,3000000,CSK,2025,3000000,,,,Uncapped,
17,Ramakrishna Ghosh,3000000,CSK,2025,3000000,,,,Uncapped,
18,Kamlesh Nagarkoti,3000000,CSK,2025,3000000,,,,Uncapped,
19,Mukesh Choudhary,3000000,CSK,2025,3000000,,,,Uncapped,
20,Shaik Rasheed,3000000,CSK,2025,3000000,,,,Uncapped,
1,KL Rahul,140000000,DC,2025,20000000,,,,Capped,
2,Mitchell Starc,117500000,DC,2025,20000000,,,,Capped,
3,T Natarajan,107500000,DC,2025,20000000,,,,Capped,
4,Jake Fraser-Mcgurk,90000000,DC,2025,20000000,,,,Capped,
5,Mukesh Kumar,80000000,DC,2025,20000000,,,,Capped,
6,Harry Brook,62500000,DC,2025,20000000,,,,Capped,
7,Ashutosh Sharma,38000000,DC,2025,3000000,,,,Uncapped,
8,Mohit Sharma,22000000,DC,2025,5000000,,,,Uncapped,
9,Faf Du Plessis,20000000,DC,2025,20000000,,,,Capped,
10,Sameer Rizvi,9500000,DC,2025,3000000,,,,Uncapped,
11,Donovan Ferreira,7500000,DC,2025,7500000,,,,Capped,
12,Dushmantha Chameera,7500000,DC,2025,7500000,,,,Capped,
13,Vipraj Nigam,5000000,DC,2025,3000000,,,,Uncapped,
14,Karun Nair,5000000,DC,2025,3000000,,,,Uncapped,
15,Madhav Tiwari,4000000,DC,2025,3000000,,,,Uncapped,
16,Tripurana Vijay,3000000,DC,2025,3000000,,,,Uncapped,
17,Manvanth Kumar L,3000000,DC,2025,3000000,,,,Uncapped,
18,Ajay Mandal,3000000,DC,2025,3000000,,,,Uncapped,
19,Darshan Nalkande,3000000,DC,2025,3000000,,,,Uncapped,
1,Jos  Buttler,157500000,GT,2025,20000000,,,,Capped,
2,Mohammed Siraj,122500000,GT,2025,20000000,,,,Capped,
3,Kagiso Rabada,107500000,GT,2025,20000000,,,,Capped,
4,Prasidh Krishna,95000000,GT,2025,20000000,,,,Capped,
5,Washington Sundar,32000000,GT,2025,20000000,,,,Capped,
6,Sherfane Rutherford,26000000,GT,2025,15000000,,,,Capped,
7,Gerald Coetzee,24000000,GT,2025,12500000,,,,Capped,
8,Glenn Phillips,20000000,GT,2025,20000000,,,,Capped,
9,R. Sai Kishore,20000000,GT,2025,7500000,,,,Capped,
10,Mahipal Lomror,17000000,GT,2025,5000000,,,,Uncapped,
11,Gurnoor Singh Brar,13000000,GT,2025,3000000,,,,Uncapped,
12,Mohd. Arshad Khan,13000000,GT,2025,3000000,,,,Uncapped,
13,Karim Janat,7500000,GT,2025,7500000,,,,Capped,
14,Jayant Yadav,7500000,GT,2025,7500000,,,,Capped,
15,Ishant Sharma,7500000,GT,2025,7500000,,,,Capped,
16,Kumar Kushagra,6500000,GT,2025,3000000,,,,Uncapped,
17,Kulwant Khejroliya,3000000,GT,2025,3000000,,,,Uncapped,
18,Manav Suthar,3000000,GT,2025,3000000,,,,Uncapped,
19,Anuj Rawat,3000000,GT,2025,3000000,,,,Uncapped,
20,Nishant Sindhu,3000000,GT,2025,3000000,,,,Uncapped,
1,Venkatesh Iyer,237500000,KKR,2025,20000000,,,,Capped,
2,Anrich Nortje,65000000,KKR,2025,20000000,,,,Capped,
3,Quinton De Kock,36000000,KKR,2025,20000000,,,,Capped,
4,Angkrish Raghuvanshi,30000000,KKR,2025,3000000,,,,Uncapped,
5,Spencer Johnson,28000000,KKR,2025,20000000,,,,Capped,
6,Moeen Ali,20000000,KKR,2025,20000000,,,,Capped,
7,Rahmanullah Gurbaz,20000000,KKR,2025,20000000,,,,Capped,
8,Vaibhav Arora,18000000,KKR,2025,3000000,,,,Uncapped,
9,Ajinkya Rahane,15000000,KKR,2025,15000000,,,,Capped,
10,Rovman Powell,15000000,KKR,2025,15000000,,,,Capped,
11,Umran  Malik,7500000,KKR,2025,7500000,,,,Capped,
12,Manish Pandey,7500000,KKR,2025,7500000,,,,Capped,
13,Anukul Roy,4000000,KKR,2025,3000000,,,,Uncapped,
14,Luvnith Sisodia,3000000,KKR,2025,3000000,,,,Uncapped,
15,Mayank Markande,3000000,KKR,2025,3000000,,,,Uncapped,
1,Rishabh Pant,270000000,LSG,2025,20000000,,,,Capped,
2,Avesh Khan,97500000,LSG,2025,20000000,,,,Capped,
3,Akash Deep,80000000,LSG,2025,10000000,,,,Capped,
4,David Miller,75000000,LSG,2025,15000000,,,,Capped,
5,Abdul Samad,42000000,LSG,2025,3000000,,,,Uncapped,
6,Mitchell Marsh,34000000,LSG,2025,20000000,,,,Capped,
7,Shahbaz Ahamad,24000000,LSG,2025,10000000,,,,Capped,
8,Aiden Markram,20000000,LSG,2025,20000000,,,,Capped,
9,Matthew Breetzke,7500000,LSG,2025,7500000,,,,Capped,
