index,season,player,team,innings,runs,balls,strike_rate,dismissals,average
0,2017,DA Warner,Sunrisers Hyderabad,14,641,452,141.81,11.0,58.27
5,2017,S Dhawan,Sunrisers Hyderabad,14,479,377,127.06,13.0,36.85
12,2017,MC Henriques,Sunrisers Hyderabad,11,277,203,136.45,6.0,46.17
66,2017,Yuvraj Singh,Sunrisers Hyderabad,11,252,176,143.18,9.0,28.0
96,2017,DJ Hooda,Sunrisers Hyderabad,6,78,52,150.0,3.0,26.0
117,2017,BCJ Cutting,Sunrisers Hyderabad,3,51,26,196.15,2.0,25.5
125,2017,CH Gayle,Royal Challengers Bangalore,9,200,162,123.46,9.0,22.22
126,2017,Mandeep Singh,Royal Challengers Bangalore,10,188,177,106.21,10.0,18.8
161,2017,TM Head,Royal Challengers Bangalore,7,151,108,139.81,5.0,30.2
168,2017,KM Jadhav,Royal Challengers Bangalore,13,267,185,144.32,12.0,22.25
200,2017,SR Watson,Royal Challengers Bangalore,7,71,78,91.03,6.0,11.83
208,2017,Sachin Baby,Royal Challengers Bangalore,3,15,15,100.0,3.0,5.0
213,2017,STR Binny,Royal Challengers Bangalore,7,78,76,102.63,5.0,15.6
231,2017,S Aravind,Royal Challengers Bangalore,6,32,40,80.0,4.0,8.0
236,2017,YS Chahal,Royal Challengers Bangalore,6,13,26,50.0,3.0,4.33
238,2017,TS Mills,Royal Challengers Bangalore,3,8,11,72.73,3.0,2.67
246,2017,A Choudhary,Royal Challengers Bangalore,3,25,20,125.0,1.0,25.0
248,2017,PA Patel,Mumbai Indians,16,395,294,134.35,16.0,24.69
251,2017,JC Buttler,Mumbai Indians,10,273,178,153.37,11.0,24.82
275,2017,RG Sharma,Mumbai Indians,16,333,275,121.09,14.0,23.79
288,2017,N Rana,Mumbai Indians,12,333,263,126.62,11.0,30.27
290,2017,AT Rayudu,Mumbai Indians,5,91,78,116.67,5.0,18.2
317,2017,KH Pandya,Mumbai Indians,11,243,180,135.0,8.0,30.38
332,2017,KA Pollard,Mumbai Indians,16,395,281,140.57,14.0,28.21
344,2017,HH Pandya,Mumbai Indians,16,250,160,156.25,7.0,35.71
362,2017,TG Southee,Mumbai Indians,1,7,3,233.33,1.0,7.0
373,2017,AM Rahane,Rising Pune Supergiant,16,382,323,118.27,15.0,25.47
374,2017,MA Agarwal,Rising Pune Supergiant,3,26,27,96.3,3.0,8.67
393,2017,SPD Smith,Rising Pune Supergiant,15,472,388,121.65,12.0,39.33
437,2017,BA Stokes,Rising Pune Supergiant,11,316,221,142.99,10.0,31.6
469,2017,MS Dhoni,Rising Pune Supergiant,15,290,250,116.0,11.0,26.36
495,2017,JJ Roy,Gujarat Lions,3,59,40,147.5,2.0,29.5
501,2017,BB McCullum,Gujarat Lions,11,320,219,146.12,11.0,29.09
515,2017,SK Raina,Gujarat Lions,14,442,305,144.92,11.0,40.18
545,2017,AJ Finch,Gujarat Lions,13,300,182,164.84,12.0,25.0
559,2017,KD Karthik,Gujarat Lions,13,361,259,139.38,10.0,36.1
617,2017,G Gambhir,Kolkata Knight Riders,16,498,390,127.69,12.0,41.5
618,2017,CA Lynn,Kolkata Knight Riders,7,295,163,180.98,6.0,49.17
784,2017,MK Tiwary,Rising Pune Supergiant,13,324,235,137.87,10.0,32.4
823,2017,DT Christian,Rising Pune Supergiant,9,79,50,158.0,5.0,15.8
838,2017,HM Amla,Kings XI Punjab,10,420,288,145.83,7.0,60.0
842,2017,M Vohra,Kings XI Punjab,9,229,159,144.03,9.0,25.44
858,2017,WP Saha,Kings XI Punjab,11,234,187,125.13,10.0,23.4
872,2017,AR Patel,Kings XI Punjab,13,227,162,140.12,8.0,28.38
910,2017,GJ Maxwell,Kings XI Punjab,13,310,179,173.18,10.0,31.0
911,2017,DA Miller,Kings XI Punjab,4,83,78,106.41,3.0,27.67
1054,2017,Vishnu Vinod,Royal Challengers Bangalore,3,19,26,73.08,3.0,6.33
1066,2017,Iqbal Abdulla,Royal Challengers Bangalore,1,5,7,71.43,0.0,5.0
1068,2017,P Negi,Royal Challengers Bangalore,10,144,111,129.73,8.0,18.0
1084,2017,AP Tare,Delhi Daredevils,3,18,23,78.26,3.0,6.0
1088,2017,SW Billings,Delhi Daredevils,6,138,103,133.98,6.0,23.0
1113,2017,KK Nair,Delhi Daredevils,13,281,226,124.34,13.0,21.62
1118,2017,SV Samson,Delhi Daredevils,14,386,273,141.39,14.0,27.57
1131,2017,RR Pant,Delhi Daredevils,14,366,221,165.61,14.0,26.14
1152,2017,CH Morris,Delhi Daredevils,8,154,94,163.83,5.0,30.8
1168,2017,CR Brathwaite,Delhi Daredevils,2,12,15,80.0,2.0,6.0
1177,2017,PJ Cummins,Delhi Daredevils,8,77,53,145.28,5.0,15.4
1186,2017,A Mishra,Delhi Daredevils,6,49,52,94.23,1.0,49.0
1203,2017,S Nadeem,Delhi Daredevils,3,2,9,22.22,3.0,0.67
1206,2017,Z Khan,Delhi Daredevils,3,4,13,30.77,1.0,4.0
1264,2017,DR Smith,Gujarat Lions,11,239,156,153.21,11.0,21.73
1310,2017,DS Kulkarni,Gujarat Lions,1,1,2,50.0,1.0,1.0
1312,2017,P Kumar,Gujarat Lions,2,8,9,88.89,1.0,8.0
1314,2017,Basil Thampi,Gujarat Lions,5,28,28,100.0,0.0,28.0
1454,2017,RV Uthappa,Kolkata Knight Riders,13,388,235,165.11,13.0,29.85
1458,2017,MK Pandey,Kolkata Knight Riders,12,396,307,128.99,8.0,49.5
1475,2017,YK Pathan,Kolkata Knight Riders,11,143,117,122.22,8.0,17.88
1501,2017,SA Yadav,Kolkata Knight Riders,7,105,89,117.98,6.0,17.5
1528,2017,CR Woakes,Kolkata Knight Riders,7,46,47,97.87,4.0,11.5
1540,2017,SP Narine,Kolkata Knight Riders,14,224,130,172.31,13.0,17.23
1670,2017,Harbhajan Singh,Mumbai Indians,7,16,16,100.0,2.0,8.0
1688,2017,AB de Villiers,Royal Challengers Bangalore,9,216,164,131.71,8.0,27.0
1988,2017,CJ Anderson,Delhi Daredevils,11,142,123,115.45,7.0,20.29
2035,2017,F du Plessis,Rising Pune Supergiant,1,8,7,114.29,1.0,8.0
2047,2017,RA Tripathi,Rising Pune Supergiant,14,391,267,146.44,14.0,27.93
2065,2017,R Bhatia,Rising Pune Supergiant,1,16,17,94.12,1.0,16.0
2091,2017,DL Chahar,Rising Pune Supergiant,1,14,6,233.33,1.0,14.0
2097,2017,A Zampa,Rising Pune Supergiant,1,5,7,71.43,1.0,5.0
2103,2017,AB Dinda,Rising Pune Supergiant,1,7,7,100.0,1.0,7.0
2113,2017,Imran Tahir,Rising Pune Supergiant,1,0,2,0.0,0.0,0.0
2213,2017,NV Ojha,Sunrisers Hyderabad,5,79,65,121.54,4.0,19.75
2228,2017,V Shankar,Sunrisers Hyderabad,4,101,75,134.67,2.0,50.5
2231,2017,Rashid Khan,Sunrisers Hyderabad,3,11,9,122.22,2.0,5.5
2238,2017,B Kumar,Sunrisers Hyderabad,2,4,4,100.0,1.0,4.0
2391,2017,MP Stoinis,Kings XI Punjab,3,17,24,70.83,3.0,5.67
2470,2017,MM Sharma,Kings XI Punjab,7,51,50,102.0,6.0,8.5
