index,season,player,team,innings,balls,overs,runs_conceeded,wickets,economy,average,strike_rate
0,2017,TS Mills,Royal Challengers Bangalore,5,107,17.5,153,5.0,8.58,30.6,21.4
7,2017,A Choudhary,Royal Challengers Bangalore,5,101,16.5,144,5.0,8.55,28.8,20.2
20,2017,YS Chahal,Royal Challengers Bangalore,13,261,43.3,333,14.0,7.66,23.79,18.64
26,2017,S Aravind,Royal Challengers Bangalore,10,183,30.3,275,5.0,9.02,55.0,36.6
32,2017,SR Watson,Royal Challengers Bangalore,8,161,26.5,245,5.0,9.13,49.0,32.2
44,2017,TM Head,Royal Challengers Bangalore,5,48,8.0,81,2.0,10.12,40.5,24.0
62,2017,STR Binny,Royal Challengers Bangalore,4,36,6.0,50,4.0,8.33,12.5,9.0
125,2017,A Nehra,Sunrisers Hyderabad,6,127,21.1,197,8.0,9.31,24.62,15.88
131,2017,B Kumar,Sunrisers Hyderabad,14,314,52.2,369,26.0,7.05,14.19,12.08
150,2017,BCJ Cutting,Sunrisers Hyderabad,4,76,12.4,123,1.0,9.71,123.0,76.0
157,2017,Rashid Khan,Sunrisers Hyderabad,14,324,54.0,358,17.0,6.63,21.06,19.06
163,2017,DJ Hooda,Sunrisers Hyderabad,3,24,4.0,42,2.0,10.5,21.0,12.0
182,2017,MC Henriques,Sunrisers Hyderabad,12,144,24.0,248,1.0,10.33,248.0,144.0
208,2017,Bipul Sharma,Sunrisers Hyderabad,7,98,16.2,129,3.0,7.9,43.0,32.67
248,2017,AB Dinda,Rising Pune Supergiant,3,60,10.0,119,1.0,11.9,119.0,60.0
255,2017,DL Chahar,Rising Pune Supergiant,3,42,7.0,74,1.0,10.57,74.0,42.0
267,2017,BA Stokes,Rising Pune Supergiant,12,264,44.0,316,12.0,7.18,26.33,22.0
273,2017,Imran Tahir,Rising Pune Supergiant,12,282,47.0,369,18.0,7.85,20.5,15.67
297,2017,A Zampa,Rising Pune Supergiant,6,119,19.5,163,7.0,8.22,23.29,17.0
303,2017,R Bhatia,Rising Pune Supergiant,3,42,7.0,55,2.0,7.86,27.5,21.0
373,2017,TG Southee,Mumbai Indians,3,60,10.0,96,3.0,9.6,32.0,20.0
380,2017,HH Pandya,Mumbai Indians,13,156,26.0,213,6.0,8.19,35.5,26.0
392,2017,MJ McClenaghan,Mumbai Indians,14,324,54.0,507,19.0,9.39,26.68,17.05
398,2017,JJ Bumrah,Mumbai Indians,16,362,60.2,444,20.0,7.36,22.2,18.1
416,2017,KH Pandya,Mumbai Indians,13,240,40.0,273,10.0,6.82,27.3,24.0
452,2017,KA Pollard,Mumbai Indians,1,11,1.5,30,,16.36,,
495,2017,TA Boult,Kolkata Knight Riders,6,143,23.5,216,5.0,9.06,43.2,28.6
501,2017,PP Chawla,Kolkata Knight Riders,6,120,20.0,179,6.0,8.95,29.83,20.0
508,2017,SP Narine,Kolkata Knight Riders,15,354,59.0,412,10.0,6.98,41.2,35.4
526,2017,CR Woakes,Kolkata Knight Riders,13,264,44.0,386,17.0,8.77,22.71,15.53
532,2017,Kuldeep Yadav,Kolkata Knight Riders,11,246,41.0,340,12.0,8.29,28.33,20.5
550,2017,YK Pathan,Kolkata Knight Riders,4,24,4.0,41,1.0,10.25,41.0,24.0
617,2017,P Kumar,Gujarat Lions,6,99,16.3,151,6.0,9.15,25.17,16.5
623,2017,DS Kulkarni,Gujarat Lions,6,113,18.5,173,3.0,9.19,57.67,37.67
629,2017,MS Gony,Gujarat Lions,1,12,2.0,32,,16.0,,
637,2017,S Kaushik,Gujarat Lions,3,66,11.0,105,,9.55,,
655,2017,DR Smith,Gujarat Lions,9,78,13.0,148,2.0,11.38,74.0,39.0
661,2017,SB Jakati,Gujarat Lions,2,30,5.0,52,,10.4,,
713,2017,Sandeep Sharma,Kings XI Punjab,13,288,48.0,398,17.0,8.29,23.41,16.94
719,2017,MM Sharma,Kings XI Punjab,14,274,45.4,410,13.0,8.98,31.54,21.08
743,2017,AR Patel,Kings XI Punjab,14,288,48.0,362,15.0,7.54,24.13,19.2
749,2017,T Natarajan,Kings XI Punjab,6,76,12.4,115,2.0,9.08,57.5,38.0
761,2017,MP Stoinis,Kings XI Punjab,5,63,10.3,110,2.0,10.48,55.0,31.5
769,2017,Swapnil Singh,Kings XI Punjab,4,42,7.0,61,1.0,8.71,61.0,42.0
844,2017,DT Christian,Rising Pune Supergiant,13,240,40.0,298,11.0,7.45,27.09,21.82
888,2017,RD Chahar,Rising Pune Supergiant,2,42,7.0,58,2.0,8.29,29.0,21.0
960,2017,Z Khan,Delhi Daredevils,11,241,40.1,313,10.0,7.79,31.3,24.1
966,2017,CH Morris,Delhi Daredevils,9,186,31.0,240,12.0,7.74,20.0,15.5
972,2017,PJ Cummins,Delhi Daredevils,12,277,46.1,373,15.0,8.08,24.87,18.47
985,2017,S Nadeem,Delhi Daredevils,7,107,17.5,119,6.0,6.67,19.83,17.83
1004,2017,A Mishra,Delhi Daredevils,14,233,38.5,343,10.0,8.83,34.3,23.3
1040,2017,CR Brathwaite,Delhi Daredevils,2,36,6.0,67,1.0,11.17,67.0,36.0
1084,2017,B Stanlake,Royal Challengers Bangalore,2,48,8.0,70,2.0,8.75,35.0,24.0
1103,2017,Iqbal Abdulla,Royal Challengers Bangalore,2,30,5.0,55,2.0,11.0,27.5,15.0
1202,2017,P Negi,Royal Challengers Bangalore,12,193,32.1,197,17.0,6.12,11.59,11.35
1328,2017,SK Raina,Gujarat Lions,6,72,12.0,102,1.0,8.5,102.0,72.0
1352,2017,Tejas Baroka,Gujarat Lions,1,21,3.3,33,,9.43,,
1383,2017,Basil Thampi,Gujarat Lions,12,268,44.4,424,11.0,9.49,38.55,24.36
1424,2017,SL Malinga,Mumbai Indians,12,269,44.5,382,11.0,8.52,34.73,24.45
1478,2017,Harbhajan Singh,Mumbai Indians,11,246,41.0,266,8.0,6.49,33.25,30.75
1606,2017,AS Rajpoot,Kolkata Knight Riders,5,84,14.0,107,4.0,7.64,26.75,21.0
1702,2017,VR Aaron,Kings XI Punjab,6,120,20.0,163,7.0,8.15,23.29,17.14
2072,2017,CJ Anderson,Delhi Daredevils,8,113,18.5,186,3.0,9.88,62.0,37.67
2272,2017,Mustafizur Rahman,Sunrisers Hyderabad,1,16,2.4,34,,12.75,,
2361,2017,UT Yadav,Kolkata Knight Riders,14,291,48.3,410,17.0,8.45,24.12,17.12
2427,2017,C de Grandhomme,Kolkata Knight Riders,9,96,16.0,135,4.0,8.44,33.75,24.0
2492,2017,I Sharma,Kings XI Punjab,6,108,18.0,179,,9.94,,
2512,2017,GJ Maxwell,Kings XI Punjab,8,114,19.0,125,7.0,6.58,17.86,16.29
2713,2017,S Badree,Royal Challengers Bangalore,7,150,25.0,188,9.0,7.52,20.89,16.67
2864,2017,AJ Tye,Gujarat Lions,6,126,21.0,141,12.0,6.71,11.75,10.5
2870,2017,RA Jadeja,Gujarat Lions,12,228,38.0,349,5.0,9.18,69.8,45.6
2956,2017,Ankit Sharma,Rising Pune Supergiant,1,6,1.0,16,,16.0,,
2962,2017,LH Ferguson,Rising Pune Supergiant,4,78,13.0,93,3.0,7.15,31.0,26.0
2968,2017,SN Thakur,Rising Pune Supergiant,12,229,38.1,315,11.0,8.25,28.64,20.82
3354,2017,KC Cariappa,Kings XI Punjab,4,90,15.0,127,4.0,8.47,31.75,22.5
3716,2017,MM Patel,Gujarat Lions,2,42,7.0,57,1.0,8.14,57.0,42.0
3817,2017,AF Milne,Royal Challengers Bangalore,4,84,14.0,134,3.0,9.57,44.67,28.0
3943,2017,JD Unadkat,Rising Pune Supergiant,12,275,45.5,322,24.0,7.03,13.42,11.46
4067,2017,NM Coulter-Nile,Kolkata Knight Riders,8,170,28.2,228,15.0,8.05,15.2,11.33
4231,2017,Mohammed Shami,Delhi Daredevils,8,156,26.0,243,5.0,9.35,48.6,31.2
4251,2017,AD Mathews,Delhi Daredevils,2,30,5.0,56,,11.2,,
4443,2017,BB Sran,Sunrisers Hyderabad,1,12,2.0,29,,14.5,,
4455,2017,S Kaul,Sunrisers Hyderabad,10,214,35.4,300,16.0,8.41,18.75,13.38
