index_bat,index_bowl,season,player,team,innings_bat,runs_bat,balls_bat,sr_bat,dismissals_bat,avg_bat,innings_bowl,ballys_bowl,overs_bowl,runs_bowl,wickets_bowl,economy_bowl,avg_bowl,sr_bowl
148222,,2007/08,A Chopra,KKR,5,42,52,80.77,5,8.4,,,,,,,,
147404,144151,2007/08,A Kumble,RCB,4,13,17,76.47,2,6.5,10,231,38.3,304,7,7.9,43.43,33
149452,149551,2007/08,A Mishra,DD,3,37,42,88.1,3,12.33,6,119,19.5,138,11,6.96,12.55,10.82
153412,,2007/08,A Mukund,CSK,1,0,1,0,1,0,,,,,,,,
143482,142422,2007/08,A Nehra,MI,3,3,13,23.08,1,3,14,269,44.5,348,12,7.76,29,22.42
,153069,2007/08,A Nel,MI,,,,,,,1,18,3,31,1,10.33,31,18
142576,142732,2007/08,A Symonds,DeC,3,161,104,154.81,2,80.5,3,41,6.5,101,,14.78,,
141785,141626,2007/08,AA Noffke,RCB,1,9,10,90,1,9,1,24,4,40,1,10,40,24
144304,141757,2007/08,AB Agarkar,KKR,6,54,45,120,5,10.8,9,156,26,207,8,7.96,25.88,19.5
146113,141731,2007/08,AB Dinda,KKR,2,2,4,50,1,2,12,234,39,260,9,6.67,28.89,26
146314,,2007/08,AB de Villiers,DD,6,95,98,96.94,5,19,,,,,,,,
142545,,2007/08,AC Gilchrist,DeC,14,436,315,138.41,13,33.54,,,,,,,,
149566,149364,2007/08,AD Mascarenhas,RR,1,9,8,112.5,1,9,1,24,4,29,2,7.25,14.5,12
142383,142496,2007/08,AM Nayar,MI,10,206,138,149.28,8,25.75,5,42,7,68,1,9.71,68,42
144461,,2007/08,AM Rahane,MI,2,4,17,23.53,2,2,,,,,,,,
142619,,2007/08,AS Yadav,DeC,6,49,39,125.64,5,9.8,,,,,,,,
151284,151086,2007/08,Abdur Razzak,RCB,1,0,2,0,0,0,1,12,2,29,,14.5,,
141783,142343,2007/08,B Akhil,RCB,7,46,31,148.39,3,15.33,6,104,17.2,134,2,7.73,67,52
145019,,2007/08,B Chipli,RCB,3,20,28,71.43,3,6.67,,,,,,,,
,142087,2007/08,B Geeves,DD,,,,,,,2,48,8,91,1,11.38,91,48
142890,141832,2007/08,B Lee,KXIP,3,17,13,130.77,1,17,4,96,16,112,4,7,28,24
,153671,2007/08,BAW Mendis,KKR,,,,,,,1,24,4,24,1,6,24,24
141608,,2007/08,BB McCullum,KKR,4,188,92,204.35,3,62.67,,,,,,,,
146028,,2007/08,BJ Hodge,KKR,3,12,17,70.59,3,4,,,,,,,,
148189,148073,2007/08,CK Kapugedera,CSK,3,16,22,72.73,3,5.33,3,17,2.5,49,,17.29,,
141762,141694,2007/08,CL White,RCB,8,114,101,112.87,7,16.29,1,6,1,24,,24,,
152425,145161,2007/08,CRD Fernando,MI,1,2,1,200,0,2,5,120,20,160,10,8,16,12
145728,143649,2007/08,D Kalyankrishna,DeC,1,3,8,37.5,1,3,3,48,8,87,2,10.88,43.5,24
142154,142278,2007/08,D Salunkhe,RR,3,33,24,137.5,2,16.5,5,47,7.5,78,1,9.96,78,47
145148,,2007/08,DB Das,KKR,6,103,94,109.57,6,17.17,,,,,,,,
146456,146553,2007/08,DB Ravi Teja,DeC,6,109,83,131.33,6,18.17,1,12,2,19,1,9.5,19,12
143419,143283,2007/08,DJ Bravo,MI,7,178,132,134.85,6,29.67,9,171,28.3,232,11,8.14,21.09,15.55
141689,142621,2007/08,DJ Hussey,KKR,13,319,259,123.17,11,29,5,78,13,130,2,10,65,39
142310,147033,2007/08,DJ Thornely,MI,4,39,53,73.58,3,13,4,42,7,40,3,5.71,13.33,14
,142147,2007/08,DL Vettori,DD,,,,,,,2,48,8,54,2,6.75,27,24
145717,144453,2007/08,DNT Zoysa,DeC,2,11,9,122.22,1,11,3,66,11,99,2,9,49.5,33
150780,146517,2007/08,DP Vijaykumar,DeC,1,1,1,100,0,1,9,152,25.2,199,4,7.86,49.75,38
142824,,2007/08,DPMD Jayawardene,KXIP,12,179,131,136.64,7,25.57,,,,,,,,
152323,148697,2007/08,DR Smith,MI,3,45,40,112.5,3,15,4,66,11,83,5,7.55,16.6,13.2
143954,142446,2007/08,DS Kulkarni,MI,1,2,16,12.5,0,2,10,177,29.3,236,11,8,21.45,16.09
142124,,2007/08,DS Lehmann,RR,2,18,18,100,2,9,,,,,,,,
147395,,2007/08,DT Patil,RCB,2,13,13,100,2,6.5,,,,,,,,
145140,144896,2007/08,DW Steyn,RCB,2,2,5,40,1,2,10,228,38,252,10,6.63,25.2,22.8
142202,,2007/08,G Gambhir,DD,14,534,381,140.16,13,41.08,,,,,,,,
143616,,2007/08,GC Smith,RR,11,441,363,121.49,9,49,,,,,,,,
147084,142080,2007/08,GD McGrath,DD,2,4,5,80,1,4,14,324,54,357,12,6.61,29.75,27
,145697,2007/08,Gagandeep Singh,KXIP,,,,,,,4,84,14,141,3,10.07,47,28
