Stats_Name,Official_Name,Confidence,Status
Ruturaj Gaikwad,Ruturaj Gaikwad,100,Matched
Matheesha Pathirana,Matheesha Pathirana,100,Matched
Shivam Dube,Shivam Dube,100,Matched
Ravindra Jadeja,,67,Check Manually
MS Dhoni,,63,Check Manually
Axar Patel,,74,Check Manually
Kuldeep Yadav,Kuldeep Yadav,100,Matched
Tristan Stubbs,Tristan Stubbs,100,Matched
Abhishek Porel,Abishek Porel,96,Matched
Rashid Khan,,79,Check Manually
Shubman Gill,Shubman Gill,100,Matched
Sai Sudharsan,B. Sai Sudharsan,93,Matched
Rahul Tewatia,Rahul Tewatia,100,Matched
Shahrukh Khan,Shahrukh Khan,100,Matched
Rinku Singh,Rinku Singh,100,Matched
Varun Chakaravarthy,Varun Chakaravarthy,100,Matched
Sunil Narine,,67,Check Manually
Andre Russell,Andre Russell,100,Matched
Harshit Rana,,72,Check Manually
Ramandeep  Singh,Ramandeep  Singh,100,Matched
Nicholas Pooran,Nicholas Pooran,100,Matched
Ravi Bishnoi,Ravi Bishnoi,100,Matched
Mayank Yadav,Mayank Yadav,100,Matched
Mohsin Khan,Mohsin Khan,100,Matched
Ayush Badoni,Ayush Badoni,100,Matched
Jasprit Bumrah,Jasprit Bumrah,100,Matched
Suryakumar Yadav,Suryakumar Yadav,100,Matched
Hardik Pandya,Hardik Pandya,100,Matched
Rohit Sharma,Rohit Sharma,100,Matched
Tilak Varma,N. Tilak Varma,92,Matched
Shashank Singh,Shashank  Singh,100,Matched
Prabhsimran Singh,Prabhsimran Singh,100,Matched
Virat Kohli,,73,Check Manually
Rajat Patidar,Rajat Patidar,100,Matched
Yash Dayal,Yash Dayal,100,Matched
Sanju Samson,Sanju Samson,100,Matched
Yashasvi Jaiswal,Yashasvi Jaiswal,100,Matched
Riyan Parag,Riyan Parag,100,Matched
Dhruv Jurel,Dhruv Jurel,100,Matched
Shimron Hetmyer,Shimron Hetmyer,100,Matched
Sandeep Sharma,Sandeep Sharma,100,Matched
Pat Cummins,Pat Cummins,100,Matched
Abhishek Sharma,Abhishek Sharma,100,Matched
Nitish Kumar Reddy,Nitish Kumar Reddy,100,Matched
Heinrich Klaasen,Heinrich Klaasen,100,Matched
Travis Head,Travis Head,100,Matched
Ajay Mandal,Ajay Mandal,100,Matched
Ajinkya Rahane,Ajinkya Rahane,100,Matched
Deepak Chahar,Deepak Chahar,100,Matched
Devon Conway,Devon Conway,100,Matched
Maheesh Theekshana,Maheesh Theekshana,100,Matched
Mitchell Santner,Mitchell Santner,100,Matched
Moeen Ali,Moeen Ali,100,Matched
Mukesh Choudhary,Mukesh Choudhary,100,Matched
Nishant Sindhu,Nishant Sindhu,100,Matched
Prashant Solanki,Prashant Solanki,100,Matched
Rajvardhan Hangargekar,Rajvardhan Hangargekar,100,Matched
Shaik Rasheed,Shaik Rasheed,100,Matched
Simarjeet Singh,Simarjeet Singh,100,Matched
Tushar Deshpande,Tushar Deshpande,100,Matched
Anrich Nortje,Anrich Nortje,100,Matched
David Warner,David Warner,100,Matched
Ishant Sharma,Ishant Sharma,100,Matched
Lalit Yadav,Lalit Yadav,100,Matched
Lungisani Ngidi,Lungisani Ngidi,100,Matched
Mitchell Marsh,Mitchell Marsh,100,Matched
Mukesh Kumar,Mukesh Kumar,100,Matched
Pravin Dubey,Pravin Dubey,100,Matched
Prithvi Shaw,Prithvi Shaw,100,Matched
Rishabh Pant,Rishabh Pant,100,Matched
Syed Khaleel Ahmed,Syed Khaleel Ahmed,100,Matched
Vicky Ostwal,Vicky Ostwal,100,Matched
Yash Dhull,Yash Dhull,100,Matched
Abhinav Sadarangani,Abhinav Sadarangani,100,Matched
B. Sai Sudharsan,B. Sai Sudharsan,100,Matched
Darshan Nalkande,Darshan Nalkande,100,Matched
David Miller,David Miller,100,Matched
Jayant Yadav,Jayant Yadav,100,Matched
Joshua Little,Joshua Little,100,Matched
Kane Williamson,Kane Williamson,100,Matched
Matthew Wade,Matthew Wade,100,Matched
Mohammad Shami,Mohammad Shami,100,Matched
Mohit Sharma,Mohit Sharma,100,Matched
Noor Ahmad,Noor  Ahmad,100,Matched
R. Sai Kishore,R. Sai Kishore,100,Matched
Vijay Shankar,Vijay Shankar,100,Matched
Wriddhiman  Saha,Wriddhiman  Saha,100,Matched
Anukul Roy,Anukul Roy,100,Matched
Jason Roy,Jason Roy,100,Matched
Nitish Rana,Nitish Rana,100,Matched
Rahmanullah Gurbaz,Rahmanullah Gurbaz,100,Matched
Shreyas Iyer,Shreyas Iyer,100,Matched
Suyash Sharma,Suyash Sharma,100,Matched
Vaibhav Arora,Vaibhav Arora,100,Matched
Venkatesh Iyer,Venkatesh Iyer,100,Matched
Amit Mishra,Amit Mishra,100,Matched
Deepak Hooda,Deepak Hooda,100,Matched
Devdutt Padikkal (T),Devdutt Padikkal,94,Matched
K. Gowtham,K. Gowtham,100,Matched
KL Rahul,KL Rahul,100,Matched
Krunal Pandya,Krunal Pandya,100,Matched
Kyle Mayers,Kyle Mayers,100,Matched
Marcus Stoinis,Marcus Stoinis,100,Matched
Mark Wood,Mark Wood,100,Matched
Naveen Ul Haq,Naveen  Ul Haq,100,Matched
Prerak Mankad,Prerak Mankad,100,Matched
Quinton De Kock,Quinton De Kock,100,Matched
Yash Thakur,Yash Thakur,100,Matched
Yudhvir Charak,Yudhvir Charak,100,Matched
Akash Madhwal,Akash Madhwal,100,Matched
Arjun  Tendulkar,Arjun  Tendulkar,100,Matched
Cameron Green,Cameron Green,100,Matched
Dewald Brevis,Dewald Brevis,100,Matched
Ishan Kishan,Ishan Kishan,100,Matched
Jason Behrendorff,Jason Behrendorff,100,Matched
Kumar Kartikeya Singh,Kumar Kartikeya Singh,100,Matched
N. Tilak Varma,N. Tilak Varma,100,Matched
Nehal Wadhera,Nehal Wadhera,100,Matched
Piyush Chawla,Piyush Chawla,100,Matched
Romario Shepherd (T),Romario Shepherd,94,Matched
Shams Mulani,Shams Mulani,100,Matched
Surya Kumar Yadav,,71,Check Manually
