stats,norm,
A Ashish Reddy,Ashish Reddy,
A Badoni,Ayush Badoni,
A Choudhary,Aniket Choudhary,
A Kamboj,Anshul Kamboj,
A Manohar,Abhinav Manohar,
A Mishra,Amit Mishra,
A Nehra,Ashish Nehra,
A Nortje,Anrich Nortje,
A Raghuvanshi,Angkrish Raghuvanshi,
A Tomar,Abhijeet Tomar,
A Zampa,Adam Zampa,
AA Kulkarni,Arshin Kulkarni,
AB de Villiers,AB de Villiers,
AB Dinda,Ashok Dinda,
Abdul Samad,Abdul Samad,
Abhishek Sharma,Abhishek Sharma,
Abishek Porel,Abishek Porel,
AD Hales,Alex Hales,
AD Mathews,Angelo Mathews,
AD Nath,Akshdeep Nath,
AD Russell,Andre Russell,
AF Milne,Adam Milne,
AJ Finch,Aaron Finch,
AJ Hosein,Akeal Hosein,
AJ Turner,Ashton Turner,
AJ Tye,Andrew Tye,
AK Markram,Aiden Markram,
Akash Deep,Akash  Deep,
Akash Madhwal,Akash Madhwal,
Akash Singh,Akash Singh,
AM Rahane,Ajinkya Rahane,
Aman Hakim Khan,Aman Khan,
Aniket Verma,Aniket Verma,
Ankit Sharma,Ankit Sharma,
Anmolpreet Singh,Anmolpreet Singh,
Anuj Rawat,Anuj Rawat,
Anureet Singh,Anureet Singh,
AP Tare,Aditya Tare,
AR Patel,Axar Rajesh Patel,
Arjun Tendulkar,Arjun  Tendulkar,
Arshad Khan,Mohd. Arshad Khan,
Arshdeep Singh,Arshdeep Singh,
AS Joseph,Alzarri Joseph,
AS Rajpoot,Ankit Singh Rajpoot,
AS Roy,Anukul Roy,
Ashutosh Sharma,Ashutosh Sharma,
Ashwani Kumar,Ashwani Kumar,
AT Carey,Alex Carey,
AT Rayudu,Ambati Rayudu,
Atharva Taide,Atharva Taide,
AU Rashid,Adil Rashid,
Avesh Khan,Avesh Khan,
Azmatullah Omarzai,Azmatullah Omarzai,
B Indrajith,Baba Indrajith,
B Kumar,Bhuvneshwar Kumar,
B Laughlin,Ben Laughlin,
B Sai Sudharsan,B. Sai Sudharsan,
B Stanlake,Billy Stanlake,
BA Stokes,Benjamin Stokes,
Basil Thampi,Basil Thampi,
BB McCullum,Brendon McCullum,
BB Sran,Barinder Singh Sran,
BCJ Cutting,Ben Cutting,
Bipul Sharma,Bipul Sharma,
BKG Mendis,Kusal Mendis,
BR Sharath,B.R. Sharath,
