Name,
AD Hales,Alex Hales
BKG Mendis,Kusal Mendis
BR Sharath,B.R. Sharath
C Green,Cameron Green
CJ Jordan,Chris Jordan
DA Miller,David Miller
DJ Hooda,Deepak Hooda
DR Sams,Daniel Sams
GJ Bailey,George Bailey
HH Pandya,Hardik Pandya
HV Patel,Harshal Patel
Harsh Dubey,Harsh Dubey
IC Porel,Ishan Porel
J Yadav,Jayant Yadav
JA Morkel,Albie Morkel
KL Rahul,KL Rahul
L Wood,Luke Wood
LB Williams,Lizaad Williams
MA Agarwal,Mayank Agarwal
MW Short,Matthew Short
Parvez Rasool,Parvez Rasool
RV Uthappa,Robin Uthappa
Ravi Bishnoi,Ravi Bishnoi
S Joseph,Shamar Joseph
SS Agarwal,Shubam Agrawal
SS Tiwary,Saurabh Tiwary
Shahbaz Ahmed,Shahbaz Ahamad
T Shamsi,Tabraiz Shamsi
UT Khawaja,Usman Khawaja
Urvil Patel,Urvil Patel
WD Parnell,Wayne Parnell
Yudhvir Singh,Yudhvir Charak
Mandeep Singh,Mandeep Singh
